objectid,filename,compound,title,format,titleSE,patentnumber,titleJP,patentee,patentee2,patentee3,inventor,location,date,class,latitude,longtitude,subject,description
patent22,,,Pole shoe attachment for alternators with pronounced poles.,image/jpg,Anordning för fästande av polskor vid växelströmsgeneratorer,64476,,Fusi Denki Seizo Kabushiki Kaisha,,,"Kieffer, E. O. & Lubach, M.",Tajima,1926-07-12,Electrical engineering,35.933,139.8308,Electrical engineering,
patent23,,,Apparatus for arranging edges of net fabrics in net-making machines,image/jpg,Kanthållningsanordning vid nätframställningsmaskiner,65305,組網機ノ耳調整裝置,Saibi Mojiami Kabushiki Kaisha,,,Saibei Kakuda,Hiroshima,1927-05-11,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",34.383331,132.449997,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",
patent24,,,Cutting device for machines for the production of nets without knots,image/jpg,Skedanordning för maskiner för framställning av nät utan knutar,65269,,Saibi Mojiami Kabushiki Kaisha,,,Saibei Kakuda,Hiroshima,1927-05-11,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",34.383331,132.449997,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",
patent25,,,Operating mechanism for net-making machines,image/jpg,Drivanordning för maskiner för framställning av nät utan knutar,66863,組網機ニ於ケル原動裝置,Saibi Mojiami Kabushiki Kaisha,,,Saibei Kakuda,Hiroshima,1927-05-11,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",34.383331,132.449997,"Braiding, lace-making, knitting, trimmings, tapestry work and net-making",
patent26,,,Improvements in or relating to incinerating apparatus,image/jpg,Ugn för förbränning av fast avfall och indunstning och förbränning av flytande avfall,65592,,Alexander Alexanderovitch Golovtchikoff,Shun Ichi Ono,,Alexander Alexanderovitch Golovtchikoff,Tokyo,1925-02-09,Combustion apparatus,35.652832,139.839478,Combustion apparatus,
patent27,,,Process for preparing highly concentrated sulphur dioxide gas,image/jpg,Sätt att framställa gas med hög svaveldioxidhalt,68903,酸素利用ノ高濃度亞硫酸瓦斯製造方法,Koki Kudoh,,,,Osaka,1925-10-01,"Chemical processes and apparatus, not covered by special classes",34.672314,135.484802,"Chemical processes and apparatus, not covered by special classes",
patent28,,,A catalytic process for producing concentrated and fuming sulphuric acid,image/jpg,Sätt att framställa svavelsyra enligt kontaktmetoden,69829,酸素利用ノ硫酸製造方法,Koki Kudoh,,,,Osaka,1925-10-03,"Chemical processes and apparatus, not covered by special classes",34.672314,135.484802,"Chemical processes and apparatus, not covered by special classes",
patent29,,,Arrangement for preventing the corrosion of metal vapour rectifiers,image/jpg,Anordning för att skydda vattenkylda kvicksilverånglikriktare av järn mot korrosion,72816,鐵質水銀蒸氣整流器設備ニ於ケル腐蝕防止裝置,Fusi Denki Seizo Kabushiki Kaisha,,,P. P. Deutschmann,Kawasaki,1930-02-07,Electrical engineering,35.529820,139.702404,Electrical engineering,
patent30,,,A process for preparing pure alumina,image/jpg,Sätt att framställa ren lerjord,72857,純「アリシナ」ノ製造法,Zaidan Hojin Rikagaku Kenkyujo,,,Tsuneo Suzuki; Hiroshi Tanaka; Torao Kurita,Tokyo,1927-07-11,"Chemical processes and apparatus, not covered by special classes",35.652832,139.839478,"Chemical processes and apparatus, not covered by special classes",
patent31,,,Improvements in or relating to processes of extracting oil from vegetable matter,image/jpg,Förfaringssätt för utvinnande av oljor ur vegetabiliska ämnen,74051,油熱浴搾油法,Kichiji Yoshida,,,,Kwanto,1929-10-09,Fat and oil industry,38.920834,121.639168,Fat and oil industry,
